"Типоразмер","q1","K0","o1","a2","o2","d","D1","d1","D2","w","h1","c1","h","n","w1","u","p3","t","s","D","G","c2","M"
"GFAF39","137,5","165","3,5","/","10","Φ30H7","Φ110j6","Φ45","Φ160","60","112","17","77","24","123","8","256","33,3","Φ9","Φ130","Φ120","105","M10×25"
"GFAF49","161,5","180","3,5","/","12","Φ35H7","Φ130j6","Φ50","Φ200","75","128,1","22","80","25","153","10","276","38,3","Φ11","Φ165","Φ120","132","M12×30"
"GFAF59","177,5","200","4","/","15","Φ40H7","Φ180j6","Φ55","Φ250","83","136","29","93","23,5","170","12","321","43,3","Φ13.5","Φ215","Φ160","142","M16×40"
"GFAF69","188","212","4","/","15","Φ40H7","Φ180j6","Φ55","Φ250","90","159,5","29","97","23","184","12","348","43,3","Φ13.5","Φ215","Φ160","156","M16×40"
"GFAF79","234","270","4","/","16","Φ50H7","Φ230j6","Φ70","Φ300","105","200","32","122","37","213","14","430","53,8","Φ13.5","Φ265","Φ200","183","M16×45"
"GFAF89","259","330","5","/","18","Φ60H7","Φ250h6","Φ85","Φ350","120","246,7","36","150","30","243","18","534","64,4","Φ17.5","Φ300","Φ250","210","M20×50"
"GFAF99","320,5","400","5","/","22","Φ70H7","Φ350h6","Φ95","Φ450","150","285","34","180","41,5","303","20","630","74,9","Φ17.5","Φ400","Φ300","270","M20×50"
"GFAF109","358","450","5","/","22","Φ90H7","Φ350h6","Φ118","Φ450","175","332,4","40","201","41","353","25","723","95,4","Φ17.5","Φ400","Φ350","313","M24×60"
"GFAF129","429","530","5","10","25","Φ100H7","Φ450h6","Φ135","Φ550","205","382,6","38","236","51","413","28","861","106,4","Φ17.5","Φ500","Φ450","373","M24×60"
"GFAF159","521","660","6","15","28","Φ120H7","Φ550h6","Φ155","Φ660","250","447","36","286","60","503","32","1021","127,4","Φ22","Φ600","Φ550","460","M24×60"
