"Типоразмер","q1","k0","h","h1","t","D","D2","D1","p3","n","a4","a3","a5","w1","w","c1","c2","u","d1","d","a2","f2","a1","M","G"
"GFAZ39","122","165","77","112","33,3","Φ94","Φ110","Φ80j6","256","9","11,5","15","M8","123","60","17","105","8","Φ45","Φ30H7","/","3","Φ9","M10×25","Φ120"
"GFAZ49","144","180","80","128,1","38,3","Φ102","Φ120","Φ80j6","276","8","11","14","M8","153","75","22","132","10","Φ50","Φ35H7","/","3","Φ9","M12×30","Φ120"
"GFAZ59","162,5","200","93","136","43,3","Φ125","Φ155","Φ105j6","321","9","12","20","M12","170","83","29","142","12","Φ55","Φ40H7","/","3,5","Φ13.5","M16×40","Φ160"
"GFAZ69","173","212","97","159,5","43,3","Φ125","Φ155","Φ105j6","348","8,5","12","22","M12","184","90","29","156","12","Φ55","Φ40H7","/","3,5","Φ13.5","M16×40","Φ160"
"GFAZ79","206,5","270","122","200","53,8","Φ142","Φ170","Φ125j6","430","10","14","20","M12","213","105","32","183","14","Φ70","Φ50H7","/","3,5","Φ13.5","M16×45","Φ200"
"GFAZ89","239","330","150","246,7","64,4","Φ178","Φ215","Φ155j6","534","11","15","29","M16","243","120","36","210","18","Φ85","Φ60H7","/","4","Φ17.5","M20×50","Φ250"
"GFAZ99","292","400","180","285","74,9","Φ220","Φ260","Φ180j6","630","14","18","28","M16","303","150","34","270","20","Φ95","Φ70H7","/","4","Φ17.5","M20×50","Φ300"
"GFAZ109","308","450","201","332,4","95,4","Φ260","Φ304","Φ210j6","723","-8","22","32","M20","353","175","40","313","25","Φ118","Φ90H7","/","4","Φ22","M24×60","Φ350"
"GFAZ129","378","530","236","382,6","106,4","Φ300","Φ350","Φ250h6","861","0","30","36","M20","413","205","38","373","28","Φ135","Φ100H7","10","5","Φ22","M24×60","Φ450"
"GFAZ159","455","660","286","447","127,4","Φ340","Φ400","Φ290h6","1021","-14","28","48","M24","503","250","36","460","32","Φ155","Φ120H7","15","5","Φ26","M24×60","Φ550"
