Типоразмер,q1,s,o2,D,o1,K0,d,u,D1,t,D2,l1,h1,l2,h,l,p3,M,G,a2
GFF39,184,Φ9,10,Φ130,3.5,165,Φ25k6,8,Φ110j6,28,Φ160,5,112,40,77,50,256,M10,Φ120,/
GFF49,218,Φ11,12,Φ165,3.5,180,Φ30k6,8,Φ130j6,33,Φ200,3.5,128.1,50,80,60,276,M10,Φ120,/
GFF59,243.5,Φ13.5,15,Φ215,4,200,Φ35k6,10,Φ180j6,38,Φ250,7,136,56,93,70,321,M12,Φ160,/
GFF69,264,Φ13.5,15,Φ215,4,212,Φ40k6,12,Φ180j6,43,Φ250,5,159.5,70,97,80,348,M16,Φ160,/
GFF79,330,Φ13.5,16,Φ265,4,270,Φ50k6,14,Φ230j6,53.5,Φ300,10,200,80,122,100,430,M16,Φ200,/
GFF89,374,Φ17.5,18,Φ300,5,330,Φ60m6,18,Φ250h6,64,Φ350,5,246.7,110,150,120,534,M20,Φ250,/
GFF99,456,Φ17.5,22,Φ400,5,400,Φ70m6,20,Φ350h6,74.5,Φ450,7.5,285,125,180,140,630,M20,Φ300,/
GFF109,523,Φ17.5,22,Φ400,5,450,Φ90m6,25,Φ350h6,95,Φ450,5,332.4,160,201,170,723,M24,Φ350,/
GFF129,634,Φ17.5,25,Φ500,5,530,Φ110m6,28,Φ450h6,116,Φ550,15,382.6,180,236,210,861,M24,Φ450,10
GFF159,725,Φ22,28,Φ600,6,660,Φ120m6,32,Φ550h6,127,Φ660,5,447,200,286,210,1021,M24,Φ550,15
