"Типоразмер","q1","p3","h","h1","h7","h6","w","w1","c2","c1","c3","c4","q","A","d2","d1","d","d3","a","a1","s","a2","a3","K0","s1","s2","k","w2","a7","G"
"GFH39","110","256","77","112","158","30","146","152,5","31","20","25","36","31,5","46","Φ80","Φ45","Φ30H7","Φ30h6","15","2,5","Φ14","/","12","165","Φ40","Φ12.5+0.5","5","20","1","Φ120"
"GFH49","133","276","80","128,1","170","22","177","183","32","20","25","37","32","64","Φ88","Φ50","Φ35H7","Φ35h6","12","3","Φ14","/","12","180","Φ40","Φ12.5+0.5","5","20","1,8","Φ120"
"GFH59","150","321","93","136","198","31","195","202","26","20","25","31","40,5","60","Φ102","Φ55","Φ40H7","Φ40h6","19,5","3","Φ14","/","14","200","Φ40","Φ12.5+0.5","5","20","2,4","Φ160"
"GFH69","161","348","97","159,5","218","40","208","215,5","38","20","25","43","41","65","Φ102","Φ55","Φ40H7","Φ40h6","21","3,5","Φ14","/","16","212","Φ40","Φ12.5+0.5","5","20","3","Φ160"
"GFH79","193","430","122","200","278","50","241","249","36","30","35","41","50","69","Φ127","Φ70","Φ50H7","Φ50h6","26,5","4","Φ22","/","20","270","Φ60","Φ21+0.5","10","30","3,2","Φ200"
"GFH89","224","534","150","246,7","346","57","281","287","41","40","45","46","62","79","Φ157","Φ85","Φ65H7","Φ65h6","32","4","Φ22","/","26","330","Φ60","Φ21+0.5","10","30","4,5","Φ250"
"GFH99","274","630","180","285","395","88","345","352","55","50","55","60","70","104","Φ171","Φ95","Φ75H7","Φ75h6","34","4","Φ26","/","30","400","Φ80","Φ25+0.5","12","40","5","Φ300"
"GFH109","312","723","201","332,4","485","108","405","417","65","60","70","75","88","100","Φ234","Φ118","Φ95H7","Φ95h6","57","2,5","Φ26","/","36","450","Φ80","Φ25+0.5","12","40","6","Φ350"
"GFH129","373","861","236","382,6","550","138","485","493","85","70","80","95","110","125","Φ233","Φ135","Φ105H7","Φ105h6","66","2,5","Φ33","10","40","530","Φ100","Φ32+0.5","15","60","9","Φ450"
"GFH159","455","1021","286","447","660","170","580","592","90","80","90","100","150","140","Φ287","Φ155","Φ125H7","Φ125h6","98","3","Φ33","15","45","660","Φ120","Φ32+0.5","15","60","9","Φ550"
