"Типоразмер","q1","p3","o1","o2","h","h1","n","s","K0","D","D1","D2","d2","d1","d","d3","w","w1","c1","c2","c3","c4","a2","G"
"GFHF39","137,5","256","3,5","10","77","112","24","Φ9","165","Φ130","Φ110j6","Φ160","Φ80","Φ45","Φ30H7","Φ30h6","146","152,5","20","31","25","36","/","Φ120"
"GFHF49","161,5","276","3,5","12","80","128,1","25","Φ11","180","Φ165","Φ130j6","Φ200","Φ88","Φ50","Φ35H7","Φ35h6","177","183","20","32","25","37","/","Φ120"
"GFHF59","177,5","321","4","15","93","136","23,5","Φ13.5","200","Φ215","Φ180j6","Φ250","Φ102","Φ55","Φ40H7","Φ40h6","195","202","20","26","25","31","/","Φ160"
"GFHF69","188","348","4","15","97","159,5","23","Φ13.5","212","Φ215","Φ180j6","Φ250","Φ102","Φ55","Φ40H7","Φ40h6","208","215,5","20","38","25","43","/","Φ160"
"GFHF79","234","430","4","16","122","200","37","Φ13.5","270","Φ265","Φ230j6","Φ300","Φ127","Φ70","Φ50H7","Φ50h6","241","249","30","36","35","41","/","Φ200"
"GFHF89","259","534","5","18","150","246,7","30","Φ17.5","330","Φ300","Φ250h6","Φ350","Φ157","Φ85","Φ65H7","Φ65h6","281","287","40","41","45","46","/","Φ250"
"GFHF99","320,5","630","5","22","180","285","41,5","Φ17.5","400","Φ400","Φ350h6","Φ450","Φ171","Φ95","Φ75H7","Φ75h6","345","352","50","55","55","60","/","Φ300"
"GFHF109","358","723","5","22","201","332,4","41","Φ17.5","450","Φ400","Φ350h6","Φ450","Φ234","Φ118","Φ95H7","Φ95h6","405","417","60","65","70","75","/","Φ350"
"GFHF129","429","861","5","25","236","382,6","51","Φ17.5","530","Φ500","Φ450h6","Φ550","Φ233","Φ135","Φ105H7","Φ105h6","485","493","70","85","80","95","10","Φ450"
"GFHF159","521","1021","6","28","286","447","60","Φ22","660","Φ600","Φ550h6","Φ660","Φ287","Φ155","Φ125H7","Φ125h6","580","592","80","90","90","100","15","Φ550"
