"Типоразмер","q1","K0","h","h1","D2","D1","p3","n","a4","a3","a5","G","w","w1","c2","c1","c3","c4","d2","d1","d","d3","a2","f2","a1","D"
"GFHZ39","122","165","77","112","Φ110","Φ80j6","256","9","11,5","15","M8","Φ120","146","152,5","31","20","25","36","Φ80","Φ45","Φ30H7","Φ30h6","/","3","Φ9","Φ94"
"GFHZ49","144","180","80","128,1","Φ120","Φ80j6","276","8","11","14","M8","Φ120","177","183","32","20","25","37","Φ88","Φ50","Φ35H7","Φ35h6","/","3","Φ9","Φ102"
"GFHZ59","162,5","200","93","136","Φ155","Φ105j6","321","9","12","20","M12","Φ160","195","202","26","20","25","31","Φ102","Φ55","Φ40H7","Φ40h6","/","3,5","Φ13.5","Φ125"
"GFHZ69","173","212","97","159,5","Φ155","Φ105j6","348","8,5","12","22","M12","Φ160","208","215,5","38","20","25","43","Φ102","Φ55","Φ40H7","Φ40h6","/","3,5","Φ13.5","Φ125"
"GFHZ79","206,5","270","122","200","Φ170","Φ125j6","430","10","14","20","M12","Φ200","241","249","36","30","35","41","Φ127","Φ70","Φ50H7","Φ50h6","/","3,5","Φ13.5","Φ142"
"GFHZ89","239","330","150","246,7","Φ215","Φ155j6","534","11","15","29","M16","Φ250","281","287","41","40","45","46","Φ157","Φ85","Φ65H7","Φ65h6","/","4","Φ17.5","Φ178"
"GFHZ99","292","400","180","285","Φ260","Φ180j6","630","14","18","28","M16","Φ300","345","352","55","50","55","60","Φ171","Φ95","Φ75H7","Φ75h6","/","4","Φ17.5","Φ220"
"GFHZ109","308","450","201","332,4","Φ304","Φ210j6","723","-8","22","32","M20","Φ350","405","417","65","60","70","75","Φ234","Φ118","Φ95H7","Φ95h6","/","4","Φ22","Φ260"
"GFHZ129","378","530","236","382,6","Φ350","Φ250h6","861","0","30","36","M20","Φ450","485","493","85","70","80","95","Φ233","Φ135","Φ105H7","Φ105h6","10","5","Φ22","Φ300"
"GFHZ159","455","660","286","447","Φ400","Φ290h6","1021","-14","28","48","M24","Φ550","580","592","90","80","90","100","Φ287","Φ155","Φ125H7","Φ125h6","15","5","Φ26","Φ340"
