"Типоразмер","s","o1","q","o2","q1","w","h1","f1","D","d","D1","d1","D2","u","h","t","p3","c1","c2","M","G","w1"
"GKAF39","Φ9","3,5","210","10","139","60","8,5","24","Φ130","Φ30H7","Φ110j6","Φ45","Φ160","8","100-0.5","33,3","164","17","105","M10×25","Φ120","63"
"GKAF49","Φ11","3,5","243","12","166","75","7,2","25","Φ165","Φ35H7","Φ130j6","Φ50","Φ200","10","112-0.5","38,3","185","22","132","M12×30","Φ160","78"
"GKAF59","Φ13.5","4","270","15","173","83","13,1","23,5","Φ215","Φ40H7","Φ180j6","Φ55","Φ250","12","132-0.5","43,3","215","29","142","M16×40","Φ160","86"
"GKAF69","Φ13.5","4","275","15","179","90","20","23","Φ215","Φ40H7","Φ180j6","Φ55","Φ250","12","140-0.5","43,3","226","29","156","M16×40","Φ160","94"
"GKAF79","Φ13.5","4","313","16","202","105","31,3","37","Φ265","Φ50H7","Φ230j6","Φ70","Φ300","14","180-0.5","53,8","288","32","183","M16×45","Φ200","108"
"GKAF89","Φ17.5","5","391","18","257","120","25,9","30","Φ300","Φ60H7","Φ250h6","Φ85","Φ350","18","212-0.5","64,4","338","36","210","M20×50","Φ250","123"
"GKAF99","Φ17.5","5","435","22","277","150","32,3","41,5","Φ400","Φ70H7","Φ350h6","Φ95","Φ450","20","265-1","74,9","417","34","270","M20×50","Φ300","153"
"GKAF109","Φ17.5","5","537","22","341","175","52","41","Φ400","Φ90H7","Φ350h6","Φ118","Φ450","25","315-1","95,4","500","40","313","M24×60","Φ350","178"
"GKAF129","Φ17.5","5","615","25","390","205","53","51","Φ500","Φ100H7","Φ450h6","Φ135","Φ550","28","375-1","106,4","592","38","373","M24×60","Φ450","208"
"GKAF159","Φ22","6","706","28","426","250","71,7","60","Φ600","Φ120H7","Φ550h6","Φ155","Φ660","32","450-1","127,4","705","36","460","M24×60","Φ550","253"
