"Типоразмер","q","q1","D1","D2","h","h1","p3","a7","f","f1","w","w1","d","d1","c2","c1","t","u","a3","a4","f2","a2","a1","D","G","M"
"GKAZ39","210","139","Φ80j6","Φ110","100-0.5","8,5","164","97","147","9","60","63","Φ30H7","Φ45","105","17","33,3","8","12","11,5","3","M8","Φ9","Φ94","Φ120","M10×25"
"GKAZ49","243","166","Φ80j6","Φ120","112-0.5","7,2","185","115","170","8","75","78","Φ35H7","Φ50","132","22","38,3","10","12","11","3","M8","Φ9","Φ102","Φ160","M12×30"
"GKAZ59","270","173","Φ105j6","Φ155","132-0.5","13,1","215","120","182","9","83","86","Φ40H7","Φ55","142","29","43,3","12","20","12","3,5","M12","Φ13.5","Φ125","Φ160","M16×40"
"GKAZ69","275","179","Φ105j6","Φ155","140-0.5","20","226","125","182","8,5","90","94","Φ40H7","Φ55","156","29","43,3","12","21","12","3,5","M12","Φ13.5","Φ125","Φ160","M16×40"
"GKAZ79","313","202","Φ125j6","Φ170","180-0.5","31,3","288","139","204","10","105","108","Φ50H7","Φ70","183","32","53,8","14","23","14","3,5","M12","Φ13.5","Φ142","Φ200","M16×45"
"GKAZ89","391","257","Φ155j6","Φ215","212-0.5","25,9","338","190","280","11","120","123","Φ60H7","Φ85","210","36","64,4","18","30","15","4","M16","Φ17.5","Φ178","Φ250","M20×50"
"GKAZ99","435","277","Φ180j6","Φ260","265-1","32,3","417","190","298","14","150","153","Φ70H7","Φ95","270","34","74,9","20","28","18","4","M16","Φ17.5","Φ220","Φ300","M20×50"
"GKAZ109","537","341","Φ210j6","Φ304","315-1","52","500","230","370","-8","175","178","Φ90H7","Φ118","313","40","95,4","25","32","22","4","M20","Φ22","Φ260","Φ350","M24×60"
"GKAZ129","615","390","Φ250h6","Φ350","375-1","53","592","275","440","0","205","208","Φ100H7","Φ135","373","38","106,4","28","36","30","5","M20","Φ22","Φ300","Φ450","M24×60"
"GKAZ159","706","426","Φ290h6","Φ400","450-1","71,7","705","290","480","-14","250","253","Φ120H7","Φ155","460","36","127,4","32","42","28","5","M24","Φ26","Φ340","Φ550","M24×60"
