"Типоразмер","s","o2","q","w","q1","w1","h1","l","D","l1","D1","l2","D2","d","h","M","p3","u","o1","t","G"
"GKF39","Φ9","10","210","134","139","57,5","8,5","50","Φ130","5","Φ110j6","40","Φ160","Φ25k6","100-0.5","M10","164","8","3,5","28","Φ120"
"GKF49","Φ11","12","243","160","166","72","7,2","60","Φ165","3,5","Φ130j6","50","Φ200","Φ30k6","112-0.5","M10","185","8","3,5","33","Φ160"
"GKF59","Φ13.5","15","270","176,5","173","80","13,1","70","Φ215","7","Φ180j6","56","Φ250","Φ35k6","132-0.5","M12","215","10","4","38","Φ160"
"GKF69","Φ13.5","15","275","193","179","86,5","20","80","Φ215","5","Φ180j6","70","Φ250","Φ40k6","140-0.5","M16","226","12","4","43","Φ160"
"GKF79","Φ13.5","16","313","242","202","101","31,3","100","Φ265","10","Φ230j6","80","Φ300","Φ50k6","180-0.5","M16","288","14","4","53,5","Φ200"
"GKF89","Φ17.5","18","391","270","257","146","25,9","120","Φ300","5","Φ250h6","110","Φ350","Φ60m6","212-0.5","M20","338","18","5","64","Φ250"
"GKF99","Φ17.5","22","435","332","277","176","32,3","140","Φ400","7,5","Φ350h6","125","Φ450","Φ70m6","265-1","M20","417","20","5","74,5","Φ300"
"GKF109","Φ17.5","22","537","386","341","181","52","170","Φ400","5","Φ350h6","160","Φ450","Φ90m6","315-1","M24","500","25","5","95","Φ350"
"GKF129","Φ17.5","25","615","466","390","203","53","210","Φ500","15","Φ450h6","180","Φ550","Φ110m6","375-1","M24","592","28","5","116","Φ450"
"GKF159","Φ22","28","706","520","426","254","71,7","210","Φ600","5","Φ550h6","200","Φ660","Φ120m6","450-1","M24","705","32","6","127","Φ550"
