"Типоразмер","q","q1","h","h1","o1","o2","s","f1","w1","w","w2","c1","c2","c3","c4","D","D1","D2","d1","d3","d","d2","p3","G"
"GKHF39","210","139","100-0.5","8,5","3,5","10","Φ9","24","95","60","86","31","20","36","25","Φ130","Φ110j6","Φ160","Φ45","Φ30h6","Φ30H7","Φ80","164","Φ120"
"GKHF49","243","166","112-0.5","7,2","3,5","12","Φ11","25","110","75","102","32","20","37","25","Φ165","Φ130j6","Φ200","Φ50","Φ35h6","Φ35H7","Φ88","185","Φ160"
"GKHF59","270","173","132-0.5","13,1","4","15","Φ13.5","23,5","120","83","112","26","20","31","25","Φ215","Φ180j6","Φ250","Φ55","Φ40h6","Φ40H7","Φ102","215","Φ160"
"GKHF69","275","179","140-0.5","20","4","15","Φ13.5","23","126","90","118","38","20","43","25","Φ215","Φ180j6","Φ250","Φ55","Φ40h6","Φ40H7","Φ102","226","Φ160"
"GKHF79","313","202","180-0.5","31,3","4","16","Φ13.5","37","146","105","136","36","30","41","35","Φ265","Φ230j6","Φ300","Φ70","Φ50h6","Φ50H7","Φ127","288","Φ200"
"GKHF89","391","257","212-0.5","25,9","5","18","Φ17.5","30","170","120","161","41","40","46","45","Φ300","Φ250h6","Φ350","Φ85","Φ65h6","Φ65H7","Φ159","338","Φ250"
"GKHF99","435","277","265-1","32,3","5","22","Φ17.5","41,5","206","150","195","55","50","60","55","Φ400","Φ350h6","Φ450","Φ95","Φ75h6","Φ75H7","Φ174","417","Φ300"
"GKHF109","537","341","315-1","52","5","22","Φ17.5","41","245","175","230","65","60","75","70","Φ400","Φ350h6","Φ450","Φ118","Φ95h6","Φ95H7","Φ234","500","Φ350"
"GKHF129","615","390","375-1","53","5","25","Φ17.5","51","296","205","280","85","70","95","80","Φ500","Φ450h6","Φ550","Φ135","Φ105h6","Φ105H7","Φ250","592","Φ450"
"GKHF159","706","426","450-1","71,7","6","28","Φ22","60","350","250","330","90","80","100","90","Φ600","Φ550h6","Φ660","Φ155","Φ125h6","Φ125H7","Φ287","705","Φ550"
