"Типоразмер","q","q1","D1","D2","h","h1","p3","a7","f","f1","w","w1","G","w2","d2","d1","d","d3","c1","c2","c3","c4","a3","a4","f2","a2","a1","D"
"GKHZ39","210","139","Φ80j6","Φ110","100-0.5","8,5","164","97","147","9","60","95","Φ120","86","Φ80","Φ45","Φ30H7","Φ30h6","31","20","36","25","12","11,5","3","M8","Φ9","Φ94"
"GKHZ49","243","166","Φ80j6","Φ120","112-0.5","7,2","185","115","170","8","75","110","Φ160","102","Φ88","Φ50","Φ35H7","Φ35h6","32","20","37","25","12","11","3","M8","Φ9","Φ102"
"GKHZ59","270","173","Φ105j6","Φ155","132-0.5","13,1","215","120","182","9","83","120","Φ160","112","Φ102","Φ55","Φ40H7","Φ40h6","26","20","31","25","20","12","3,5","M12","Φ13.5","Φ125"
"GKHZ69","275","179","Φ105j6","Φ155","140-0.5","20","226","125","182","8,5","90","126","Φ160","118","Φ102","Φ55","Φ40H7","Φ40h6","38","20","43","25","20","12","3,5","M12","Φ13.5","Φ125"
"GKHZ79","313","202","Φ125j6","Φ170","180-0.5","31,3","286","139","204","10","105","146","Φ200","136","Φ127","Φ70","Φ50H7","Φ50h6","36","30","41","35","23","14","3,5","M12","Φ13.5","Φ142"
"GKHZ89","391","257","Φ155j6","Φ215","212-0.5","25,9","338","190","280","11","120","170","Φ250","161","Φ159","Φ85","Φ65H7","Φ65h6","41","40","46","45","30","15","4","M16","Φ17.5","Φ178"
"GKHZ99","435","277","Φ180j6","Φ260","265-1","32,3","417","190","298","14","150","206","Φ300","195","Φ174","Φ95","Φ75H7","Φ75h6","55","50","60","55","28","18","4","M16","Φ17.5","Φ220"
"GKHZ109","537","341","Φ210j6","Φ304","315-1","52","500","230","370","-8","175","245","Φ350","230","Φ234","Φ118","Φ95H7","Φ95h6","65","60","75","70","32","22","4","M20","Φ22","Φ260"
"GKHZ129","615","390","Φ250h6","Φ350","375-1","53","592","275","440","0","205","296","Φ450","280","Φ250","Φ135","Φ105H7","Φ105h6","85","70","95","80","36","30","5","M20","Φ22","Φ300"
"GKHZ159","706","426","Φ290h6","Φ400","450-1","71,7","705","290","480","-14","250","350","Φ550","330","Φ287","Φ155","Φ125H7","Φ125h6","90","80","100","90","42","28","5","M24","Φ26","Φ340"
