"Типоразмер","Спецификация","Мощность 4P (кВт)","d","G","k2","l","M","l1","l2","t","u"
"GR..29/39","AD1","0.12-0.18","16k6","Φ120","130","40","M5","4","32","18","5"
"GR..29/39","AD2","0.25-3","19k6","Φ120","130","40","M6","4","32","21,5","6"
"GR..49/59/69","AD2","0.12-1.5","19k6","Φ160","149","40","M6","4","32","21,5","6"
"GR..49/59/69","AD3","2.2-7.5","24k6","Φ160","159","50","M8","5","40","27","8"
"GR..79","AD2","0.18-1.5","19k6","Φ200","184","40","M6","4","32","21,5","6"
"GR..79","AD3","2.2-4","24k6","Φ200","194","50","M8","5","40","27","8"
"GR..79","AD4","5.5-11","38k6","Φ200","224","80","M12","5","70","41","10"
"GR..89","AD2","0.55-1.5","19k6","Φ250","136","40","M6","4","32","21,5","6"
"GR..89","AD3","2.2-4","28k6","Φ250","156","60","M10","5","50","31","8"
"GR..89","AD4","5.5-7.5","38k6","Φ250","262","80","M12","5","70","41","10"
"GR..89","AD5","11-22","42k6","Φ250","292","110","M16","10","70","45","12"
"GR..99","AD3","0.55-4","28k6","Φ300","194","60","M10","5","50","31","8"
"GR..99","AD4","5.5-7.5","38k6","Φ300","214","80","M12","5","70","41","10"
"GR..99","AD5","11-22","42k6","Φ300","327","110","M16","10","70","45","12"
"GR..99","AD6","30","48k6","Φ300","327","110","M16","10","80","51,5","14"
"GR..109","AD3","2.2-4","28k6","Φ350","188","60","M10","5","50","31","8"
"GR..109","AD4","5.5-7.5","38k6","Φ350","208","80","M12","5","70","41","10"
"GR..109","AD5","11-22","42k6","Φ350","321","110","M16","10","70","45","12"
"GR..109","AD6","30-45","48k6","Φ350","321","110","M16","10","80","51,5","14"
"GR..139","AD4","5.5-7.5","38k6","Φ400","270","80","M12","5","70","41","10"
"GR..139","AD5","11-22","42k6","Φ400","300","110","M16","10","70","45","12"
"GR..139","AD6","30-45","48k6","Φ400","300","110","M16","10","80","51,5","14"
"GR..139","AD7","55","55m6","Φ400","300","110","M20","10","90","59","16"
"GR..149","AD4","7.5","38k6","Φ450","270","80","M12","5","70","41","10"
"GR..149","AD5","11-22","42k6","Φ450","300","110","M16","10","90","45","12"
"GR..149","AD6","30-45","48k6","Φ450","300","110","M16","10","90","51,5","14"
"GR..149","AD7","55","55m6","Φ450","300","110","M20","10","90","59","16"
"GR..149","AD8","75-90","70m6","Φ450","383","140","M20","15","110","74,5","20"
"GR..169/179","AD5","11-22","42k6","Φ550","344","110","M16","10","90","45","12"
"GR..169/179","AD6","30-45","48k6","Φ550","344","110","M16","10","90","51,5","14"
"GR..169/179","AD7","55-90","55m6","Φ550","344","110","M20","10","90","59","16"
"GR..169/179","AD8","110-160","70m6","Φ550","374","140","M20","15","110","74,5","20"
