"Типоразмер","d","D2","D1","o2","o1","D","x","s","h","l2","h1","l","h5","M","h2","u","e","t","l1","q1","G"
"GRXF59","Φ20k6","Φ140","Φ95j6","10","3","Φ115","4","Φ9","68","32","52","40","141","M6","","6","162","22,5","3,5","174","Φ160"
"GRXF59","Φ20k6","Φ160","Φ110j6","10","3,5","Φ130","4","Φ9","68","32","52","40","141","M6","","6","162","22,5","3,5","174","Φ160"
"GRXF59","Φ20k6","Φ200","Φ130j6","12","3,5","Φ165","4","Φ11","68","32","52","40","141","M6","","6","162","22,5","3,5","174","Φ160"
"GRXF69","Φ25k6","Φ160","Φ110j6","10","3,5","Φ130","4","Φ9","75","40","60","50","150","M10","","8","180","28","3,5","201","Φ160"
"GRXF69","Φ25k6","Φ200","Φ130j6","12","3,5","Φ165","4","Φ11","75","40","60","50","150","M10","","8","180","28","3,5","201","Φ160"
"GRXF69","Φ25k6","Φ250","Φ180j6","15","4","Φ215","4","Φ13.5","75","40","60","50","150","M10","","8","180","28","3,5","201","Φ160"
"GRXF79","Φ30k6","Φ200","Φ130j6","12","3,5","Φ165","4","Φ11","82","50","72","60","185","M10","224","8","210","33","3,5","227","Φ200"
"GRXF79","Φ30k6","Φ250","Φ180j6","15","4","Φ215","4","Φ13.5","82","50","72","60","185","M10","224","8","210","33","3,5","227","Φ200"
"GRXF89","Φ40k6","Φ250","Φ180j6","15","4","Φ215","4","Φ13.5","102","70","93,5","80","238","M16","283","12","272","43","5","269","Φ250"
"GRXF89","Φ40k6","Φ300","Φ230j6","16","4","Φ265","4","Φ13.5","102","70","93,5","80","238","M16","283","12","272","43","5","269","Φ250"
"GRXF99","Φ50k6","Φ300","Φ230j6","16","4","Φ265","4","Φ13.5","124","80","116","100","287","M16","332","14","328","53,5","10","316","Φ300"
"GRXF99","Φ50k6","Φ350","Φ250h6","18","5","Φ300","4","Φ17.5","124","80","116","100","287","M16","332","14","328","53,5","10","316","Φ300"
"GRXF109","Φ60m6","Φ350","Φ250h6","18","5","Φ300","4","Φ17.5","141","110","130","120","325","M20","380","18","370","64","5","364","Φ350"
"GRXF109","Φ60m6","Φ450","Φ350h6","22","5","Φ400","8","Φ17.5","141","110","130","120","325","M20","380","18","370","64","5","364","Φ350"
"GRXF139","Φ70m6","Φ350","Φ250h6","18","5","Φ300","4","Φ17.5","176","125","157","140","372","M20","437","20","416","74,5","7,5","398","Φ400"
"GRXF139","Φ70m6","Φ450","Φ350h6","22","5","Φ400","8","Φ17.5","176","125","157","140","372","M20","437","20","416","74,5","7,5","398","Φ400"
"GRXF139","Φ70m6","Φ550","Φ450h6","22","5","Φ500","8","Φ17.5","176","125","157","140","372","M20","437","20","416","74,5","7,5","398","Φ400"
